Date : 2023-05-11 23:51:44
Directory : /home/lycan/Programming/rabbithole
Total : 1004 files,  44691 codes, 5876 comments, 6141 blanks, all 56708 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| lua_modules/lib/luarocks/rocks-5.2/std.normalize/2.0.3-1                                                           |          1 |        251 |         11 |         42 |        304 |
| lua_modules/lib/luarocks/rocks-5.2/std.normalize/2.0.3-1/doc                                                       |          1 |        251 |         11 |         42 |        304 |
| lua_modules/lib/luarocks/rocks-5.3                                                                                 |         49 |      4,791 |        491 |        560 |      5,842 |
| lua_modules/lib/luarocks/rocks-5.3/luasocket                                                                       |         49 |      4,791 |        491 |        560 |      5,842 |
| lua_modules/lib/luarocks/rocks-5.3/luasocket/3.1.0-1                                                               |         49 |      4,791 |        491 |        560 |      5,842 |
| lua_modules/lib/luarocks/rocks-5.3/luasocket/3.1.0-1/docs                                                          |          1 |         41 |          0 |         15 |         56 |
| lua_modules/lib/luarocks/rocks-5.3/luasocket/3.1.0-1/etc                                                           |         12 |      1,014 |        282 |        128 |      1,424 |
| lua_modules/lib/luarocks/rocks-5.3/luasocket/3.1.0-1/samples                                                       |         10 |        273 |         54 |         25 |        352 |
| lua_modules/lib/luarocks/rocks-5.3/luasocket/3.1.0-1/test                                                          |         26 |      3,463 |        155 |        392 |      4,010 |
| lua_modules/share                                                                                                  |         32 |      5,882 |      3,045 |      1,026 |      9,953 |
| lua_modules/share/lua                                                                                              |         32 |      5,882 |      3,045 |      1,026 |      9,953 |
| lua_modules/share/lua/5.2                                                                                          |         23 |      4,308 |      2,679 |        833 |      7,820 |
| lua_modules/share/lua/5.2 (Files)                                                                                  |          5 |      1,550 |      1,191 |        213 |      2,954 |
| lua_modules/share/lua/5.2/socket                                                                                   |          6 |      1,158 |        293 |        131 |      1,582 |
| lua_modules/share/lua/5.2/std                                                                                      |         12 |      1,600 |      1,195 |        489 |      3,284 |
| lua_modules/share/lua/5.2/std/_debug                                                                               |          2 |         55 |         40 |         23 |        118 |
| lua_modules/share/lua/5.2/std/functional                                                                           |          5 |        616 |        567 |        212 |      1,395 |
| lua_modules/share/lua/5.2/std/normalize                                                                            |          5 |        929 |        588 |        254 |      1,771 |
| lua_modules/share/lua/5.3                                                                                          |          9 |      1,574 |        366 |        193 |      2,133 |
| lua_modules/share/lua/5.3 (Files)                                                                                  |          3 |        416 |         73 |         62 |        551 |
| lua_modules/share/lua/5.3/socket                                                                                   |          6 |      1,158 |        293 |        131 |      1,582 |
| rabbithole                                                                                                         |         83 |      6,121 |        638 |      1,229 |      7,988 |
| rabbithole (Files)                                                                                                 |          1 |         11 |          1 |          0 |         12 |
| rabbithole/components                                                                                              |         52 |      3,145 |        342 |        640 |      4,127 |
| rabbithole/components (Files)                                                                                      |          1 |         17 |         10 |          5 |         32 |
| rabbithole/components/buttons                                                                                      |          6 |        178 |         33 |         21 |        232 |
| rabbithole/components/keys                                                                                         |          2 |        230 |         56 |         28 |        314 |
| rabbithole/components/layouts                                                                                      |          1 |         11 |         14 |          5 |         30 |
| rabbithole/components/menus                                                                                        |          4 |        183 |         12 |         48 |        243 |
| rabbithole/components/rules                                                                                        |          1 |        108 |         14 |         14 |        136 |
| rabbithole/components/wiboxes                                                                                      |          4 |         67 |          0 |          9 |         76 |
| rabbithole/components/wiboxes/bars                                                                                 |          4 |         67 |          0 |          9 |         76 |
| rabbithole/components/widgets                                                                                      |         33 |      2,351 |        203 |        510 |      3,064 |
| rabbithole/components/widgets (Files)                                                                              |          4 |        216 |        112 |         56 |        384 |
| rabbithole/components/widgets/common                                                                               |          4 |        677 |         20 |        146 |        843 |
| rabbithole/components/widgets/taglist                                                                              |          5 |        436 |         21 |         73 |        530 |
| rabbithole/components/widgets/tasklist                                                                             |          2 |        118 |          2 |         17 |        137 |
| rabbithole/components/widgets/wonderlandSystray                                                                    |         15 |        692 |         30 |        181 |        903 |
| rabbithole/components/widgets/workspace-menu                                                                       |          3 |        212 |         18 |         37 |        267 |
| rabbithole/services                                                                                                |         20 |      2,785 |        250 |        555 |      3,590 |
| rabbithole/services (Files)                                                                                        |          5 |        322 |         94 |         75 |        491 |
| rabbithole/services/error_handler                                                                                  |          2 |         53 |          8 |         14 |         75 |
| rabbithole/services/modal                                                                                          |          2 |        165 |          3 |         33 |        201 |
| rabbithole/services/sessionManager                                                                                 |          2 |          2 |          0 |          3 |          5 |
| rabbithole/services/settingsManager                                                                                |          1 |          0 |          0 |          1 |          1 |
| rabbithole/services/settingsManager/settings                                                                       |          1 |          0 |          0 |          1 |          1 |
| rabbithole/services/tesseractThemeEngine                                                                           |          5 |      1,651 |         81 |        293 |      2,025 |
| rabbithole/services/workspaceManagerService                                                                        |          3 |        592 |         64 |        136 |        792 |
| rabbithole/systems                                                                                                 |          5 |         86 |         36 |         23 |        145 |
| rabbithole/ui                                                                                                      |          5 |         94 |          9 |         11 |        114 |
| rabbithole/ui/default                                                                                              |          5 |         94 |          9 |         11 |        114 |
| scripts                                                                                                            |          4 |        196 |         39 |         41 |        276 |
| sub                                                                                                                |         88 |     10,643 |        983 |      2,064 |     13,690 |
| sub/awesome-sharedtags                                                                                             |          4 |        589 |         75 |         97 |        761 |
| sub/awesome-sharedtags (Files)                                                                                     |          3 |        337 |         64 |         55 |        456 |
| sub/awesome-sharedtags/doc                                                                                         |          1 |        252 |         11 |         42 |        305 |
| sub/bling                                                                                                          |         59 |      7,608 |        581 |      1,200 |      9,389 |
| sub/bling (Files)                                                                                                  |          4 |        122 |         22 |         27 |        171 |
| sub/bling/docs                                                                                                     |         17 |      2,107 |          5 |        440 |      2,552 |
| sub/bling/docs (Files)                                                                                             |          4 |      1,032 |          5 |        210 |      1,247 |
| sub/bling/docs/layouts                                                                                             |          1 |         44 |          0 |         22 |         66 |
| sub/bling/docs/module                                                                                              |          6 |        291 |          0 |         82 |        373 |
| sub/bling/docs/signals                                                                                             |          1 |        193 |          0 |         48 |        241 |
| sub/bling/docs/widgets                                                                                             |          5 |        547 |          0 |         78 |        625 |
| sub/bling/helpers                                                                                                  |          7 |        421 |         68 |         73 |        562 |
| sub/bling/layout                                                                                                   |          7 |        486 |         32 |         77 |        595 |
| sub/bling/module                                                                                                   |          7 |        900 |        230 |        120 |      1,250 |
| sub/bling/signal                                                                                                   |          4 |        746 |         80 |        137 |        963 |
| sub/bling/signal (Files)                                                                                           |          1 |          3 |          0 |          1 |          4 |
| sub/bling/signal/playerctl                                                                                         |          3 |        743 |         80 |        136 |        959 |
| sub/bling/widget                                                                                                   |         13 |      2,826 |        144 |        326 |      3,296 |
| sub/bling/widget (Files)                                                                                           |          4 |        786 |         43 |         82 |        911 |
| sub/bling/widget/app_launcher                                                                                      |          2 |      1,449 |         85 |        180 |      1,714 |
| sub/bling/widget/tabbar                                                                                            |          4 |        435 |          2 |         38 |        475 |
| sub/bling/widget/tabbed_misc                                                                                       |          3 |        156 |         14 |         26 |        196 |
| sub/debugger                                                                                                       |          8 |      1,172 |        143 |        334 |      1,649 |
| sub/debugger (Files)                                                                                               |          3 |        814 |         66 |        213 |      1,093 |
| sub/debugger/embed                                                                                                 |          2 |        101 |         66 |         41 |        208 |
| sub/debugger/test                                                                                                  |          3 |        257 |         11 |         80 |        348 |
| sub/freedesktop                                                                                                    |          4 |        300 |         68 |         82 |        450 |
| sub/lua-di                                                                                                         |          7 |        366 |         10 |        136 |        512 |
| sub/lua-di (Files)                                                                                                 |          2 |        174 |          2 |         72 |        248 |
| sub/lua-di/example                                                                                                 |          4 |         56 |          0 |         19 |         75 |
| sub/lua-di/lua-di                                                                                                  |          1 |        136 |          8 |         45 |        189 |
| sub/rubato                                                                                                         |          6 |        608 |        106 |        215 |        929 |
| themes                                                                                                             |        686 |     10,930 |         95 |        398 |     11,423 |
| themes/default                                                                                                     |        269 |      4,170 |         18 |        142 |      4,330 |
| themes/default (Files)                                                                                             |          1 |        135 |          7 |         29 |        171 |
| themes/default/assets                                                                                              |        134 |      2,078 |          6 |         57 |      2,141 |
| themes/default/assets/icons                                                                                        |        122 |      1,722 |          5 |         43 |      1,770 |
| themes/default/assets/icons/audio                                                                                  |         10 |         30 |          0 |          0 |         30 |
| themes/default/assets/icons/battery                                                                                |         26 |         26 |          0 |          0 |         26 |
| themes/default/assets/icons/bluetooth                                                                              |          2 |          2 |          0 |          0 |          2 |
| themes/default/assets/icons/brightness                                                                             |          3 |         15 |          0 |          0 |         15 |
| themes/default/assets/icons/clock                                                                                  |          1 |          1 |          0 |          0 |          1 |
| themes/default/assets/icons/cpu                                                                                    |          7 |         16 |          0 |          2 |         18 |
| themes/default/assets/icons/date                                                                                   |          1 |          1 |          0 |          0 |          1 |
| themes/default/assets/icons/kblayout                                                                               |          1 |          1 |          0 |          0 |          1 |
| themes/default/assets/icons/network                                                                                |          8 |          8 |          0 |          0 |          8 |
| themes/default/assets/icons/notifications                                                                          |          5 |          5 |          0 |          0 |          5 |
| themes/default/assets/icons/power                                                                                  |          1 |          1 |          0 |          0 |          1 |
| themes/default/assets/icons/powermenu                                                                              |          6 |         30 |          0 |          0 |         30 |
| themes/default/assets/icons/rabbithole                                                                             |          1 |         14 |          0 |          1 |         15 |
| themes/default/assets/icons/titlebar                                                                               |          6 |          6 |          0 |          0 |          6 |
| themes/default/assets/icons/workspace_menu                                                                         |         44 |      1,566 |          5 |         40 |      1,611 |
| themes/default/assets/layout                                                                                       |         11 |        346 |          1 |         13 |        360 |
| themes/default/assets/textures                                                                                     |          1 |         10 |          0 |          1 |         11 |
| themes/default/icons                                                                                               |        124 |      1,740 |          5 |         45 |      1,790 |
| themes/default/icons (Files)                                                                                       |          2 |         18 |          0 |          2 |         20 |
| themes/default/icons/audio                                                                                         |         10 |         30 |          0 |          0 |         30 |
| themes/default/icons/battery                                                                                       |         26 |         26 |          0 |          0 |         26 |
| themes/default/icons/bluetooth                                                                                     |          2 |          2 |          0 |          0 |          2 |
| themes/default/icons/brightness                                                                                    |          3 |         15 |          0 |          0 |         15 |
| themes/default/icons/clock                                                                                         |          1 |          1 |          0 |          0 |          1 |
| themes/default/icons/cpu                                                                                           |          7 |         16 |          0 |          2 |         18 |
| themes/default/icons/date                                                                                          |          1 |          1 |          0 |          0 |          1 |
| themes/default/icons/kblayout                                                                                      |          1 |          1 |          0 |          0 |          1 |
| themes/default/icons/network                                                                                       |          8 |          8 |          0 |          0 |          8 |
| themes/default/icons/notifications                                                                                 |          5 |          5 |          0 |          0 |          5 |
| themes/default/icons/power                                                                                         |          1 |          1 |          0 |          0 |          1 |
| themes/default/icons/powermenu                                                                                     |          6 |         30 |          0 |          0 |         30 |
| themes/default/icons/rabbithole                                                                                    |          1 |         14 |          0 |          1 |         15 |
| themes/default/icons/titlebar                                                                                      |          6 |          6 |          0 |          0 |          6 |
| themes/default/icons/workspace_menu                                                                                |         44 |      1,566 |          5 |         40 |      1,611 |
| themes/default/layouts                                                                                             |         10 |        217 |          0 |         11 |        228 |
| themes/rabbithole                                                                                                  |        143 |      2,650 |         31 |         91 |      2,772 |
| themes/rabbithole (Files)                                                                                          |          4 |        106 |         23 |         28 |        157 |
| themes/rabbithole copy                                                                                             |        137 |      2,057 |         23 |         83 |      2,163 |
| themes/rabbithole copy (Files)                                                                                     |          3 |        100 |         18 |         27 |        145 |
| themes/rabbithole copy/icons                                                                                       |        124 |      1,740 |          5 |         45 |      1,790 |
| themes/rabbithole copy/icons (Files)                                                                               |          2 |         18 |          0 |          2 |         20 |
| themes/rabbithole copy/icons/audio                                                                                 |         10 |         30 |          0 |          0 |         30 |
| themes/rabbithole copy/icons/battery                                                                               |         26 |         26 |          0 |          0 |         26 |
| themes/rabbithole copy/icons/bluetooth                                                                             |          2 |          2 |          0 |          0 |          2 |
| themes/rabbithole copy/icons/brightness                                                                            |          3 |         15 |          0 |          0 |         15 |
| themes/rabbithole copy/icons/clock                                                                                 |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole copy/icons/cpu                                                                                   |          7 |         16 |          0 |          2 |         18 |
| themes/rabbithole copy/icons/date                                                                                  |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole copy/icons/kblayout                                                                              |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole copy/icons/network                                                                               |          8 |          8 |          0 |          0 |          8 |
| themes/rabbithole copy/icons/notifications                                                                         |          5 |          5 |          0 |          0 |          5 |
| themes/rabbithole copy/icons/power                                                                                 |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole copy/icons/powermenu                                                                             |          6 |         30 |          0 |          0 |         30 |
| themes/rabbithole copy/icons/rabbithole                                                                            |          1 |         14 |          0 |          1 |         15 |
| themes/rabbithole copy/icons/titlebar                                                                              |          6 |          6 |          0 |          0 |          6 |
| themes/rabbithole copy/icons/workspace_menu                                                                        |         44 |      1,566 |          5 |         40 |      1,611 |
| themes/rabbithole copy/layouts                                                                                     |         10 |        217 |          0 |         11 |        228 |
| themes/rabbithole.bak                                                                                              |        137 |      2,053 |         23 |         82 |      2,158 |
| themes/rabbithole.bak (Files)                                                                                      |          3 |         96 |         18 |         26 |        140 |
| themes/rabbithole.bak/icons                                                                                        |        124 |      1,740 |          5 |         45 |      1,790 |
| themes/rabbithole.bak/icons (Files)                                                                                |          2 |         18 |          0 |          2 |         20 |
| themes/rabbithole.bak/icons/audio                                                                                  |         10 |         30 |          0 |          0 |         30 |
| themes/rabbithole.bak/icons/battery                                                                                |         26 |         26 |          0 |          0 |         26 |
| themes/rabbithole.bak/icons/bluetooth                                                                              |          2 |          2 |          0 |          0 |          2 |
| themes/rabbithole.bak/icons/brightness                                                                             |          3 |         15 |          0 |          0 |         15 |
| themes/rabbithole.bak/icons/clock                                                                                  |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole.bak/icons/cpu                                                                                    |          7 |         16 |          0 |          2 |         18 |
| themes/rabbithole.bak/icons/date                                                                                   |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole.bak/icons/kblayout                                                                               |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole.bak/icons/network                                                                                |          8 |          8 |          0 |          0 |          8 |
| themes/rabbithole.bak/icons/notifications                                                                          |          5 |          5 |          0 |          0 |          5 |
| themes/rabbithole.bak/icons/power                                                                                  |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole.bak/icons/powermenu                                                                              |          6 |         30 |          0 |          0 |         30 |
| themes/rabbithole.bak/icons/rabbithole                                                                             |          1 |         14 |          0 |          1 |         15 |
| themes/rabbithole.bak/icons/titlebar                                                                               |          6 |          6 |          0 |          0 |          6 |
| themes/rabbithole.bak/icons/workspace_menu                                                                         |         44 |      1,566 |          5 |         40 |      1,611 |
| themes/rabbithole.bak/layouts                                                                                      |         10 |        217 |          0 |         11 |        228 |
| themes/rabbithole/icons                                                                                            |        126 |      2,148 |          6 |         48 |      2,202 |
| themes/rabbithole/icons (Files)                                                                                    |          4 |        426 |          1 |          5 |        432 |
| themes/rabbithole/icons/audio                                                                                      |         10 |         30 |          0 |          0 |         30 |
| themes/rabbithole/icons/battery                                                                                    |         26 |         26 |          0 |          0 |         26 |
| themes/rabbithole/icons/bluetooth                                                                                  |          2 |          2 |          0 |          0 |          2 |
| themes/rabbithole/icons/brightness                                                                                 |          3 |         15 |          0 |          0 |         15 |
| themes/rabbithole/icons/clock                                                                                      |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole/icons/cpu                                                                                        |          7 |         16 |          0 |          2 |         18 |
| themes/rabbithole/icons/date                                                                                       |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole/icons/kblayout                                                                                   |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole/icons/network                                                                                    |          8 |          8 |          0 |          0 |          8 |
| themes/rabbithole/icons/notifications                                                                              |          5 |          5 |          0 |          0 |          5 |
| themes/rabbithole/icons/power                                                                                      |          1 |          1 |          0 |          0 |          1 |
| themes/rabbithole/icons/powermenu                                                                                  |          6 |         30 |          0 |          0 |         30 |
| themes/rabbithole/icons/rabbithole                                                                                 |          1 |         14 |          0 |          1 |         15 |
| themes/rabbithole/icons/titlebar                                                                                   |          6 |          6 |          0 |          0 |          6 |
| themes/rabbithole/icons/workspace_menu                                                                             |         44 |      1,566 |          5 |         40 |      1,611 |
| themes/rabbithole/layouts                                                                                          |         12 |        395 |          2 |         15 |        412 |
| themes/rabbithole/titlebar                                                                                         |          1 |          1 |          0 |          0 |          1 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                           | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/lycan/Programming/rabbithole/.github/FUNDING.yml                                                             | YAML             |          1 |         11 |          2 |         14 |
| /home/lycan/Programming/rabbithole/.github/ISSUE_TEMPLATE/issue.md                                                 | Markdown         |         27 |          0 |         18 |         45 |
| /home/lycan/Programming/rabbithole/.github/workflows/check-awesome-config.yml                                      | YAML             |         17 |          0 |          4 |         21 |
| /home/lycan/Programming/rabbithole/awm-debug.lua                                                                   | Lua              |         42 |          2 |          9 |         53 |
| /home/lycan/Programming/rabbithole/error-handling.lua                                                              | Lua              |         17 |          7 |          3 |         27 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/docs/reference.css         | CSS              |         41 |          0 |         15 |         56 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/b64.lua                | Lua              |         14 |          5 |          1 |         20 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/check-links.lua        | Lua              |         87 |         14 |         11 |        112 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/check-memory.lua       | Lua              |         16 |          0 |          2 |         18 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/cookie.lua             | Lua              |         78 |          3 |          8 |         89 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/dict.lua               | Lua              |        116 |         17 |         19 |        152 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/dispatch.lua           | Lua              |        212 |         76 |         20 |        308 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/eol.lua                | Lua              |          8 |          5 |          1 |         14 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/forward.lua            | Lua              |         47 |         14 |          5 |         66 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/get.lua                | Lua              |        107 |         24 |         11 |        142 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/lp.lua                 | Lua              |        202 |         89 |         33 |        324 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/qp.lua                 | Lua              |         18 |          5 |          1 |         24 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/etc/tftp.lua               | Lua              |        109 |         30 |         16 |        155 |
| /home/lycan/Programming/rabbithole/lua_modules/lib/luarocks/rocks-5.2/luasocket/3.1.0-1/samples/cddb.lua           | Lua              |         41 |          0 |          6 |         47 |
